entity_id,state,last_changed
sensor.dsr_1_energy,283.29,2026-01-02T13:00:00.000Z
sensor.dsr_1_energy,283.29,2026-01-02T14:00:00.000Z
sensor.dsr_1_energy,283.31,2026-01-02T20:00:00.000Z
sensor.dsr_1_energy,283.31,2026-01-02T21:00:00.000Z
sensor.dsr_1_energy,283.32,2026-01-03T01:00:00.000Z
sensor.dsr_1_energy,283.32,2026-01-03T02:00:00.000Z
sensor.dsr_1_energy,283.33,2026-01-03T17:00:00.000Z
sensor.dsr_1_energy,283.36,2026-01-03T18:00:00.000Z
sensor.dsr_1_energy,283.47,2026-01-03T19:00:00.000Z
sensor.dsr_1_energy,283.58,2026-01-03T20:00:00.000Z
sensor.dsr_1_energy,283.61,2026-01-03T21:00:00.000Z
sensor.dsr_1_energy,283.61,2026-01-03T22:00:00.000Z
sensor.dsr_1_energy,283.62,2026-01-04T00:00:00.000Z
sensor.dsr_1_energy,283.62,2026-01-04T01:00:00.000Z
sensor.dsr_1_energy,283.68,2026-01-04T20:00:00.000Z
sensor.dsr_1_energy,283.68,2026-01-04T21:00:00.000Z
sensor.dsr_1_energy,283.69,2026-01-04T23:00:00.000Z
sensor.dsr_1_energy,283.69,2026-01-05T00:00:00.000Z
sensor.dsr_1_energy,283.71,2026-01-05T17:00:00.000Z
sensor.dsr_1_energy,283.77,2026-01-05T18:00:00.000Z
sensor.dsr_1_energy,283.81,2026-01-05T19:00:00.000Z
sensor.dsr_1_energy,283.82,2026-01-05T20:00:00.000Z
sensor.dsr_1_energy,283.82,2026-01-05T21:00:00.000Z
sensor.dsr_1_energy,283.83,2026-01-06T00:00:00.000Z
sensor.dsr_1_energy,283.83,2026-01-06T01:00:00.000Z
sensor.dsr_1_energy,283.84,2026-01-06T15:00:00.000Z
sensor.dsr_1_energy,283.84,2026-01-06T16:00:00.000Z
sensor.dsr_1_energy,283.85,2026-01-06T20:00:00.000Z
sensor.dsr_1_energy,283.85,2026-01-06T21:00:00.000Z
sensor.dsr_1_energy,283.86,2026-01-06T22:00:00.000Z
sensor.dsr_1_energy,283.86,2026-01-06T23:00:00.000Z
sensor.dsr_1_energy,283.87,2026-01-07T09:00:00.000Z
sensor.dsr_1_energy,283.87,2026-01-07T10:00:00.000Z
sensor.dsr_1_energy,283.9,2026-01-07T20:00:00.000Z
sensor.dsr_1_energy,283.92,2026-01-07T21:00:00.000Z
sensor.dsr_1_energy,283.92,2026-01-07T22:00:00.000Z
sensor.dsr_1_energy,283.93,2026-01-08T05:00:00.000Z
sensor.dsr_1_energy,283.93,2026-01-08T06:00:00.000Z
sensor.dsr_1_energy,283.94,2026-01-08T17:00:00.000Z
sensor.dsr_1_energy,284.03,2026-01-08T18:00:00.000Z
sensor.dsr_1_energy,284.07,2026-01-08T19:00:00.000Z
sensor.dsr_1_energy,284.11,2026-01-08T20:00:00.000Z
sensor.dsr_1_energy,284.13,2026-01-08T21:00:00.000Z
sensor.dsr_1_energy,284.13,2026-01-08T22:00:00.000Z
sensor.dsr_1_energy,284.14,2026-01-09T16:00:00.000Z
sensor.dsr_1_energy,284.14,2026-01-09T17:00:00.000Z
sensor.dsr_1_energy,284.16,2026-01-09T18:00:00.000Z
sensor.dsr_1_energy,284.19,2026-01-09T19:00:00.000Z
sensor.dsr_1_energy,284.25,2026-01-09T20:00:00.000Z
sensor.dsr_1_energy,284.29,2026-01-09T21:00:00.000Z
sensor.dsr_1_energy,284.33,2026-01-09T22:00:00.000Z
sensor.dsr_1_energy,284.33,2026-01-09T23:00:00.000Z
sensor.dsr_1_energy,284.34,2026-01-10T01:00:00.000Z
sensor.dsr_1_energy,284.34,2026-01-10T02:00:00.000Z
sensor.dsr_1_energy,284.35,2026-01-10T13:00:00.000Z
sensor.dsr_1_energy,284.35,2026-01-10T14:00:00.000Z
sensor.dsr_1_energy,284.36,2026-01-10T20:00:00.000Z
sensor.dsr_1_energy,284.38,2026-01-10T21:00:00.000Z
sensor.dsr_1_energy,284.38,2026-01-10T22:00:00.000Z
sensor.dsr_1_energy,284.4,2026-01-11T01:00:00.000Z
sensor.dsr_1_energy,284.4,2026-01-11T02:00:00.000Z
sensor.dsr_1_energy,284.41,2026-01-11T13:00:00.000Z
sensor.dsr_1_energy,284.41,2026-01-11T14:00:00.000Z
sensor.dsr_1_energy,284.43,2026-01-11T15:00:00.000Z
sensor.dsr_1_energy,284.47,2026-01-11T16:00:00.000Z
sensor.dsr_1_energy,284.5,2026-01-11T17:00:00.000Z
sensor.dsr_1_energy,284.53,2026-01-11T18:00:00.000Z
sensor.dsr_1_energy,284.55,2026-01-11T19:00:00.000Z
sensor.dsr_1_energy,284.59,2026-01-11T20:00:00.000Z
sensor.dsr_1_energy,284.62,2026-01-11T21:00:00.000Z
sensor.dsr_1_energy,284.63,2026-01-11T22:00:00.000Z
sensor.dsr_1_energy,284.66,2026-01-11T23:00:00.000Z
sensor.dsr_1_energy,284.66,2026-01-12T00:00:00.000Z
sensor.dsr_1_energy,284.67,2026-01-12T08:00:00.000Z
sensor.dsr_1_energy,284.67,2026-01-12T09:00:00.000Z
sensor.dsr_1_energy,284.71,2026-01-12T19:00:00.000Z
sensor.dsr_1_energy,284.75,2026-01-12T20:00:00.000Z
sensor.dsr_1_energy,284.75,2026-01-12T21:00:00.000Z
sensor.dsr_1_energy,284.76,2026-01-12T22:00:00.000Z
sensor.dsr_1_energy,284.76,2026-01-12T23:00:00.000Z
sensor.dsr_1_energy,284.77,2026-01-13T08:00:00.000Z
sensor.dsr_1_energy,284.77,2026-01-13T09:00:00.000Z
sensor.dsr_1_energy,284.79,2026-01-13T18:00:00.000Z
sensor.dsr_1_energy,284.8,2026-01-13T19:00:00.000Z
sensor.dsr_1_energy,284.85,2026-01-13T20:00:00.000Z
sensor.dsr_1_energy,284.85,2026-01-13T21:00:00.000Z
sensor.dsr_1_energy,284.86,2026-01-13T22:00:00.000Z
sensor.dsr_1_energy,284.86,2026-01-13T23:00:00.000Z
sensor.dsr_1_energy,284.89,2026-01-14T17:00:00.000Z
sensor.dsr_1_energy,284.91,2026-01-14T18:00:00.000Z
sensor.dsr_1_energy,284.92,2026-01-14T19:00:00.000Z
sensor.dsr_1_energy,284.95,2026-01-14T20:00:00.000Z
sensor.dsr_1_energy,284.95,2026-01-14T21:00:00.000Z
sensor.dsr_1_energy,284.96,2026-01-15T08:00:00.000Z
sensor.dsr_1_energy,285.02,2026-01-15T09:00:00.000Z
sensor.dsr_1_energy,285.04,2026-01-15T10:00:00.000Z
sensor.dsr_1_energy,285.05,2026-01-15T11:00:00.000Z
sensor.dsr_1_energy,285.06,2026-01-15T12:00:00.000Z
sensor.dsr_1_energy,285.06,2026-01-15T13:00:00.000Z
sensor.dsr_1_energy,285.07,2026-01-15T15:00:00.000Z
sensor.dsr_1_energy,285.09,2026-01-15T16:00:00.000Z
sensor.dsr_1_energy,285.14,2026-01-15T17:00:00.000Z
sensor.dsr_1_energy,285.19,2026-01-15T18:00:00.000Z
sensor.dsr_1_energy,285.27,2026-01-15T19:00:00.000Z
sensor.dsr_1_energy,285.31,2026-01-15T20:00:00.000Z
sensor.dsr_1_energy,285.34,2026-01-15T21:00:00.000Z
sensor.dsr_1_energy,285.34,2026-01-15T22:00:00.000Z
sensor.dsr_1_energy,285.35,2026-01-16T11:00:00.000Z
sensor.dsr_1_energy,285.35,2026-01-16T12:00:00.000Z
sensor.dsr_1_energy,285.37,2026-01-16T18:00:00.000Z
sensor.dsr_1_energy,285.39,2026-01-16T19:00:00.000Z
sensor.dsr_1_energy,285.44,2026-01-16T20:00:00.000Z
sensor.dsr_1_energy,285.45,2026-01-16T21:00:00.000Z
sensor.dsr_1_energy,285.45,2026-01-16T22:00:00.000Z
sensor.dsr_1_energy,285.46,2026-01-17T01:00:00.000Z
sensor.dsr_1_energy,285.46,2026-01-17T02:00:00.000Z
sensor.dsr_1_energy,285.47,2026-01-17T16:00:00.000Z
sensor.dsr_1_energy,285.51,2026-01-17T17:00:00.000Z
sensor.dsr_1_energy,285.53,2026-01-17T18:00:00.000Z
sensor.dsr_1_energy,285.54,2026-01-17T19:00:00.000Z
sensor.dsr_1_energy,285.56,2026-01-17T20:00:00.000Z
sensor.dsr_1_energy,285.57,2026-01-17T21:00:00.000Z
sensor.dsr_1_energy,285.57,2026-01-17T22:00:00.000Z
sensor.dsr_1_energy,285.58,2026-01-17T23:00:00.000Z
sensor.dsr_1_energy,285.58,2026-01-18T00:00:00.000Z
sensor.dsr_1_energy,285.59,2026-01-18T08:00:00.000Z
sensor.dsr_1_energy,285.59,2026-01-18T09:00:00.000Z
sensor.dsr_1_energy,285.62,2026-01-18T19:00:00.000Z
sensor.dsr_1_energy,285.67,2026-01-18T20:00:00.000Z
sensor.dsr_1_energy,285.7,2026-01-18T21:00:00.000Z
sensor.dsr_1_energy,285.7,2026-01-18T22:00:00.000Z
sensor.dsr_1_energy,285.71,2026-01-19T17:00:00.000Z
sensor.dsr_1_energy,285.72,2026-01-19T18:00:00.000Z
sensor.dsr_1_energy,285.74,2026-01-19T19:00:00.000Z
sensor.dsr_1_energy,285.76,2026-01-19T20:00:00.000Z
sensor.dsr_1_energy,285.8,2026-01-19T21:00:00.000Z
sensor.dsr_1_energy,285.8,2026-01-19T22:00:00.000Z
sensor.dsr_1_energy,285.81,2026-01-20T02:00:00.000Z
sensor.dsr_1_energy,285.81,2026-01-20T03:00:00.000Z
sensor.dsr_1_energy,285.82,2026-01-20T16:00:00.000Z
sensor.dsr_1_energy,285.84,2026-01-20T17:00:00.000Z
sensor.dsr_1_energy,285.9,2026-01-20T18:00:00.000Z
sensor.dsr_1_energy,285.95,2026-01-20T19:00:00.000Z
sensor.dsr_1_energy,286,2026-01-20T20:00:00.000Z
sensor.dsr_1_energy,286,2026-01-20T21:00:00.000Z
sensor.dsr_1_energy,286.02,2026-01-21T20:00:00.000Z
sensor.dsr_1_energy,286.02,2026-01-21T21:00:00.000Z
sensor.dsr_1_energy,286.03,2026-01-21T23:00:00.000Z
sensor.dsr_1_energy,286.03,2026-01-22T00:00:00.000Z
sensor.dsr_1_energy,286.04,2026-01-22T03:00:00.000Z
sensor.dsr_1_energy,286.04,2026-01-22T04:00:00.000Z
sensor.dsr_1_energy,286.05,2026-01-22T16:00:00.000Z
sensor.dsr_1_energy,286.05,2026-01-22T17:00:00.000Z
sensor.dsr_1_energy,286.06,2026-01-22T18:00:00.000Z
sensor.dsr_1_energy,286.09,2026-01-22T19:00:00.000Z
sensor.dsr_1_energy,286.11,2026-01-22T20:00:00.000Z
sensor.dsr_1_energy,286.14,2026-01-22T21:00:00.000Z
sensor.dsr_1_energy,286.14,2026-01-22T22:00:00.000Z
sensor.dsr_1_energy,286.15,2026-01-23T17:00:00.000Z
sensor.dsr_1_energy,286.15,2026-01-23T18:00:00.000Z
sensor.dsr_1_energy,286.16,2026-01-23T20:00:00.000Z
sensor.dsr_1_energy,286.2,2026-01-23T21:00:00.000Z
sensor.dsr_1_energy,286.21,2026-01-23T22:00:00.000Z
sensor.dsr_1_energy,286.21,2026-01-23T23:00:00.000Z
sensor.dsr_1_energy,286.22,2026-01-24T17:00:00.000Z
sensor.dsr_1_energy,286.22,2026-01-24T18:00:00.000Z
sensor.dsr_1_energy,286.23,2026-01-24T19:00:00.000Z
sensor.dsr_1_energy,286.25,2026-01-24T20:00:00.000Z
sensor.dsr_1_energy,286.25,2026-01-24T21:00:00.000Z
sensor.dsr_1_energy,286.27,2026-01-25T15:00:00.000Z
sensor.dsr_1_energy,286.29,2026-01-25T16:00:00.000Z
sensor.dsr_1_energy,286.29,2026-01-25T17:00:00.000Z
sensor.dsr_1_energy,286.31,2026-01-25T18:00:00.000Z
sensor.dsr_1_energy,286.31,2026-01-25T19:00:00.000Z
sensor.dsr_1_energy,286.36,2026-01-25T20:00:00.000Z
sensor.dsr_1_energy,286.36,2026-01-25T21:00:00.000Z
sensor.dsr_1_energy,286.38,2026-01-26T17:00:00.000Z
sensor.dsr_1_energy,286.41,2026-01-26T18:00:00.000Z
sensor.dsr_1_energy,286.43,2026-01-26T19:00:00.000Z
sensor.dsr_1_energy,286.47,2026-01-26T20:00:00.000Z
sensor.dsr_1_energy,286.47,2026-01-26T21:00:00.000Z
sensor.dsr_1_energy,286.48,2026-01-27T15:00:00.000Z
sensor.dsr_1_energy,286.48,2026-01-27T16:00:00.000Z
sensor.dsr_1_energy,286.52,2026-01-27T20:00:00.000Z
sensor.dsr_1_energy,286.52,2026-01-27T21:00:00.000Z
sensor.dsr_1_energy,286.58,2026-01-28T20:00:00.000Z
sensor.dsr_1_energy,286.6,2026-01-28T21:00:00.000Z
sensor.dsr_1_energy,286.6,2026-01-28T22:00:00.000Z
sensor.dsr_1_energy,286.62,2026-01-29T17:00:00.000Z
sensor.dsr_1_energy,286.62,2026-01-29T18:00:00.000Z
sensor.dsr_1_energy,286.65,2026-01-29T19:00:00.000Z
sensor.dsr_1_energy,286.7,2026-01-29T20:00:00.000Z
sensor.dsr_1_energy,286.7,2026-01-29T21:00:00.000Z
sensor.dsr_1_energy,286.72,2026-01-30T17:00:00.000Z
sensor.dsr_1_energy,286.73,2026-01-30T18:00:00.000Z
sensor.dsr_1_energy,286.76,2026-01-30T19:00:00.000Z
sensor.dsr_1_energy,286.79,2026-01-30T20:00:00.000Z
sensor.dsr_1_energy,286.82,2026-01-30T21:00:00.000Z
sensor.dsr_1_energy,286.82,2026-01-30T22:00:00.000Z
sensor.dsr_1_energy,286.83,2026-01-31T11:00:00.000Z
sensor.dsr_1_energy,286.86,2026-01-31T12:00:00.000Z
sensor.dsr_1_energy,286.88,2026-01-31T13:00:00.000Z
sensor.dsr_1_energy,286.9,2026-01-31T14:00:00.000Z
sensor.dsr_1_energy,286.9,2026-01-31T15:00:00.000Z
sensor.dsr_1_energy,286.91,2026-01-31T18:00:00.000Z
sensor.dsr_1_energy,286.92,2026-01-31T19:00:00.000Z
sensor.dsr_1_energy,286.93,2026-01-31T20:00:00.000Z
sensor.dsr_1_energy,286.93,2026-01-31T21:00:00.000Z
